#Gene          	Label     	Location                      	Source    	Strand    
A1CF           	CD        	chr10:50799421-50885675       	CGC_v.96  	neg       
SLC16A13       	NG        	chr17:7036015-7040117         	DORGE     	pos       
ITM2C          	NG        	chr2:230864942-230879248      	DORGE     	pos       
ZNF347         	NG        	chr19:53134935-53159053       	DORGE     	neg       
ZNF428         	NG        	chr19:43607224-43619629       	DORGE     	neg       
SLC9A6         	NG        	chrX:135974636-136047267      	DORGE     	pos       
ZNF20          	NG        	chr19:12131350-12140350       	DORGE     	neg       
SEL1L3         	NG        	chr4:25747433-25862988        	DORGE     	neg       
ZNF823         	NG        	chr19:11721265-11738946       	DORGE     	neg       
ZNF566         	NG        	chr19:36445119-36489561       	DORGE     	neg       
MSRB2          	NG        	chr10:23095579-23122013       	DORGE     	pos       
ATP6V0E2       	NG        	chr7:149872968-149880693      	DORGE     	pos       
CYP2R1         	NG        	chr11:14877440-14892231       	DORGE     	neg       
LRRC34         	NG        	chr3:169793003-169812904      	DORGE     	neg       
ZNF793         	NG        	chr19:37506939-37543333       	DORGE     	pos       
ST6GALNAC6     	NG        	chr9:127885321-127905330      	DORGE     	neg       
TSEN15         	NG        	chr1:184051730-184074212      	DORGE     	pos       
VPS36          	NG        	chr13:52412606-52450634       	DORGE     	neg       
TMEM192        	NG        	chr4:165070608-165112860      	DORGE     	neg       
ZNF513         	NG        	chr2:27377235-27380734        	DORGE     	neg       
MRPS24         	NG        	chr7:43866558-43869517        	DORGE     	neg       
CNPPD1         	NG        	chr2:219172174-219178106      	DORGE     	neg       
IFIH1          	NG        	chr2:162267074-162318684      	DORGE     	neg       
LYSMD4         	NG        	chr15:99727405-99733437       	DORGE     	neg       
INADL          	NG        	chr1:61742480-62163915        	DORGE     	pos       
P2RY1          	NG        	chr3:152835131-152841439      	DORGE     	pos       
ZNF846         	NG        	chr19:9757475-9768617         	DORGE     	neg       
GGCX           	NG        	chr2:85544720-85561493        	DORGE     	neg       
TRMT12         	NG        	chr8:124450820-124453026      	DORGE     	pos       
PSMB8          	NG        	chr6:32840717-32844047        	DORGE     	neg       
SPIN4          	NG        	chrX:63347228-63351332        	DORGE     	neg       
SLC50A1        	NG        	chr1:155135852-155138853      	DORGE     	pos       
TM2D1          	NG        	chr1:61681047-61725423        	DORGE     	neg       
ZNF223         	NG        	chr19:44052036-44067999       	DORGE     	pos       
ZNF526         	NG        	chr19:42220312-42228201       	DORGE     	pos       
DUSP18         	NG        	chr22:30652051-30667860       	DORGE     	neg       
LYPD6          	NG        	chr2:149329985-149473623      	DORGE     	pos       
SLC9A7         	NG        	chrX:46599251-46759118        	DORGE     	neg       
ZNF628         	NG        	chr19:55476617-55484487       	DORGE     	pos       
NETO1          	NG        	chr18:72742314-72867575       	DORGE     	neg       
KCNK2          	NG        	chr1:215005855-215235219      	DORGE     	pos       
FAM171A1       	NG        	chr10:15211643-15371289       	DORGE     	neg       
VAX2           	NG        	chr2:70900576-70933446        	DORGE     	pos       
NDUFS8         	NG        	chr11:68030681-68036644       	DORGE     	pos       
ZNF470         	NG        	chr19:56567468-56582894       	DORGE     	pos       
ZNF808         	NG        	chr19:52527668-52556336       	DORGE     	pos       
EVC2           	NG        	chr4:5562439-5708559          	DORGE     	neg       
NKAP           	NG        	chrX:119920672-119943751      	DORGE     	neg       
ATP7A          	NG        	chrX:77910738-78021079        	DORGE     	pos       
MAGIX          	NG        	chrX:49162564-49168483        	DORGE     	pos       
LPHN1          	NG        	chr19:14147743-14206169       	DORGE     	neg       
ZNF546         	NG        	chr19:39997060-40021038       	DORGE     	pos       
SMCR7          	NG        	chr17:18260662-18266552       	DORGE     	pos       
EVC            	NG        	chr4:5711201-5814305          	DORGE     	pos       
FAM160A2       	NG        	chr11:6211345-6234711         	DORGE     	neg       
PYROXD1        	NG        	chr12:21437655-21471250       	DORGE     	pos       
COG7           	NG        	chr16:23388493-23453189       	DORGE     	neg       
ZNF121         	NG        	chr19:9560329-9584504         	DORGE     	neg       
ACTR5          	NG        	chr20:38748460-38772520       	DORGE     	pos       
ACN9           	NG        	chr7:97117698-97181763        	DORGE     	pos       
PHF11          	NG        	chr13:49495953-49528976       	DORGE     	pos       
ZNF430         	NG        	chr19:21020657-21060050       	DORGE     	pos       
FAM173A        	NG        	chr16:721146-722590           	DORGE     	pos       
RBM42          	NG        	chr19:35629036-35637685       	DORGE     	pos       
KBTBD8         	NG        	chr3:66998307-67011210        	DORGE     	pos       
TBC1D17        	NG        	chr19:49877702-49888750       	DORGE     	pos       
NDE1           	NG        	chr16:15643267-15726353       	DORGE     	pos       
ZNF711         	NG        	chrX:85243991-85273357        	DORGE     	pos       
FAM32A         	NG        	chr19:16185410-16192046       	DORGE     	pos       
LMOD1          	NG        	chr1:201896456-201946548      	DORGE     	neg       
PVR            	NG        	chr19:44643910-44666162       	DORGE     	pos       
ZNF625         	NG        	chr19:12144890-12156734       	DORGE     	neg       
MRPL9          	NG        	chr1:151759647-151763496      	DORGE     	neg       
TDRKH          	NG        	chr1:151771564-151790522      	DORGE     	neg       
ZNF768         	NG        	chr16:30524004-30526566       	DORGE     	neg       
GPR114         	NG        	chr16:57542643-57577189       	DORGE     	pos       
HIST1H2AM      	NG        	chr6:27837880-27838375        	DORGE     	pos       
DPY19L2        	NG        	chr12:63558913-63668493       	DORGE     	neg       
FAM73B         	NG        	chr9:129036995-129042506      	DORGE     	pos       
ZSCAN23        	NG        	chr6:28432655-28443491        	DORGE     	neg       
HAGHL          	NG        	chr16:727106-729715           	DORGE     	pos       
ZKSCAN4        	NG        	chr6:28241697-28252269        	DORGE     	neg       
MMGT1          	NG        	chrX:135960588-135973988      	DORGE     	neg       
ASPDH          	NG        	chr19:50511603-50513913       	DORGE     	neg       
C7ORF63        	NG        	chr7:90245174-90311063        	DORGE     	pos       
ALG13          	NG        	chrX:111681170-111760649      	DORGE     	pos       
ZNF175         	NG        	chr19:51571283-51592510       	DORGE     	pos       
ZNF573         	NG        	chr19:37738302-37779586       	DORGE     	neg       
HYI            	NG        	chr1:43450989-43453931        	DORGE     	neg       
PLK1S1         	NG        	chr20:21126082-21246622       	DORGE     	pos       
GNL1           	NG        	chr6:30541381-30556489        	DORGE     	neg       
SH3RF2         	NG        	chr5:145937877-146081791      	DORGE     	pos       
ZNF780B        	NG        	chr19:40028260-40056231       	DORGE     	neg       
DHRS12         	NG        	chr13:51767995-51804157       	DORGE     	neg       
KIAA0195       	NG        	chr17:75456635-75500452       	DORGE     	pos       
ADPRHL2        	NG        	chr1:36088892-36093932        	DORGE     	pos       
ZNF276         	NG        	chr16:89720985-89740903       	DORGE     	pos       
ZNF45          	NG        	chr19:43912624-43935282       	DORGE     	neg       
MEIG1          	NG        	chr10:14959388-14972857       	DORGE     	pos       
B4GALT7        	NG        	chr5:177600132-177610330      	DORGE     	pos       
ZNF70          	NG        	chr22:23738682-23751112       	DORGE     	neg       
ZFP28          	NG        	chr19:56538948-56556808       	DORGE     	pos       
ZNF594         	NG        	chr17:5179535-5191868         	DORGE     	neg       
CORIN          	NG        	chr4:47594001-47838067        	DORGE     	neg       
TTC30B         	NG        	chr2:177548998-177552796      	DORGE     	pos       
ZNF646         	NG        	chr16:31074422-31084196       	DORGE     	pos       
RCAN1          	NG        	chr21:34516484-34613843       	DORGE     	neg       
CMC1           	NG        	chr3:28241619-28325142        	DORGE     	pos       
FLAD1          	NG        	chr1:154983359-154993111      	DORGE     	pos       
ZNF101         	NG        	chr19:19668839-19683506       	DORGE     	pos       
ZNF226         	NG        	chr19:44165100-44177685       	DORGE     	pos       
PLBD2          	NG        	chr12:113358587-113391629     	DORGE     	pos       
DHRS7B         	NG        	chr17:21126964-21191445       	DORGE     	pos       
ANKRD54        	NG        	chr22:37830855-37844334       	DORGE     	neg       
ZNF547         	NG        	chr19:57363551-57379565       	DORGE     	pos       
NUDT18         	NG        	chr8:22106878-22109419        	DORGE     	neg       
FAM13A         	NG        	chr4:88725960-89057185        	DORGE     	neg       
FAM24B         	NG        	chr10:122849096-122879605     	DORGE     	neg       
PAOX           	NG        	chr10:133379262-133391694     	DORGE     	pos       
ZC4H2          	NG        	chrX:64915807-64976450        	DORGE     	neg       
TOMM22         	NG        	chr22:38681957-38685421       	DORGE     	pos       
ARL10          	NG        	chr5:176365487-176381909      	DORGE     	pos       
ZNF37A         	NG        	chr10:38094347-38125544       	DORGE     	pos       
IER3IP1        	NG        	chr18:47152834-47176364       	DORGE     	neg       
SLC2A8         	NG        	chr9:127397169-127407898      	DORGE     	pos       
VPS52          	NG        	chr6:33250278-33271876        	DORGE     	neg       
SMAD9          	NG        	chr13:36844831-36920238       	DORGE     	neg       
ZNF570         	NG        	chr19:37469356-37488652       	DORGE     	pos       
ZNF621         	NG        	chr3:40524960-40539782        	DORGE     	pos       
ZNF134         	NG        	chr19:57614242-57624724       	DORGE     	pos       
ZNF528         	NG        	chr19:52397849-52418401       	DORGE     	pos       
STK32B         	NG        	chr4:5051480-5500989          	DORGE     	pos       
APOOL          	NG        	chrX:85003877-85093315        	DORGE     	pos       
ZNF766         	NG        	chr19:52269587-52296046       	DORGE     	pos       
ZNF385D        	NG        	chr3:21412218-21751210        	DORGE     	neg       
COL14A1        	NG        	chr8:120125102-120373573      	DORGE     	pos       
MRPL53         	NG        	chr2:74471982-74472680        	DORGE     	neg       
NPDC1          	NG        	chr9:137039463-137046177      	DORGE     	neg       
HIST3H2A       	NG        	chr1:228456979-228457873      	DORGE     	neg       
MINA           	NG        	chr3:97944560-97972087        	DORGE     	neg       
ZNF514         	NG        	chr2:95145000-95159848        	DORGE     	neg       
TMEM44         	NG        	chr3:194588448-194633325      	DORGE     	neg       
GNG13          	NG        	chr16:798041-800734           	DORGE     	neg       
FRY            	NG        	chr13:32031774-32299125       	DORGE     	pos       
NDUFS1         	NG        	chr2:206114817-206159444      	DORGE     	neg       
MTERF          	NG        	chr7:91870929-91880702        	DORGE     	neg       
LDLRAD3        	NG        	chr11:35944062-36232136       	DORGE     	pos       
TSNARE1        	NG        	chr8:142212080-142403182      	DORGE     	neg       
C4ORF27        	NG        	chr4:169729470-169757944      	DORGE     	neg       
MTERFD1        	NG        	chr8:96239402-96261610        	DORGE     	neg       
ZNF81          	NG        	chrX:47836970-48002561        	DORGE     	pos       
ZNF615         	NG        	chr19:51991345-52008230       	DORGE     	neg       
KCNS3          	NG        	chr2:17877847-17932954        	DORGE     	pos       
WDSUB1         	NG        	chr2:159235798-159286703      	DORGE     	neg       
OLFML2B        	NG        	chr1:161983192-162023869      	DORGE     	neg       
BTN2A1         	NG        	chr6:26457955-26469637        	DORGE     	pos       
OBSL1          	NG        	chr2:219550728-219571539      	DORGE     	neg       
ZNF845         	NG        	chr19:53333749-53356906       	DORGE     	pos       
ZNF227         	NG        	chr19:44212528-44237267       	DORGE     	pos       
TRAPPC5        	NG        	chr19:7680833-7687703         	DORGE     	pos       
RBM43          	NG        	chr2:151247940-151261863      	DORGE     	neg       
KIRREL3        	NG        	chr11:126423358-127000770     	DORGE     	neg       
ZNF510         	NG        	chr9:96754553-96778087        	DORGE     	neg       
AP4M1          	NG        	chr7:100101664-100110319      	DORGE     	pos       
OMA1           	NG        	chr1:58480719-58546726        	DORGE     	neg       
DUS1L          	NG        	chr17:82057506-82065804       	DORGE     	neg       
ACPL2          	NG        	chr3:141231825-141294924      	DORGE     	pos       
DECR2          	NG        	chr16:401885-412482           	DORGE     	pos       
HNMT           	NG        	chr2:137964473-138016364      	DORGE     	pos       
FAM110A        	NG        	chr20:833715-846277           	DORGE     	pos       
ARSA           	NG        	chr22:50622754-50628152       	DORGE     	neg       
LYRM5          	NG        	chr12:25195216-25205135       	DORGE     	pos       
SAC3D1         	NG        	chr11:65040901-65044799       	DORGE     	pos       
SUMF2          	NG        	chr7:56064224-56080669        	DORGE     	pos       
WNK3           	NG        	chrX:54192825-54358005        	DORGE     	neg       
DCPS           	NG        	chr11:126304060-126350005     	DORGE     	pos       
DBP            	NG        	chr19:48630030-48637379       	DORGE     	neg       
NUDT8          	NG        	chr11:67627938-67629930       	DORGE     	neg       
C1ORF27        	NG        	chr1:186375838-186421375      	DORGE     	pos       
ZNF433         	NG        	chr19:12014716-12035710       	DORGE     	neg       
COL4A5         	NG        	chrX:108439924-108697545      	DORGE     	pos       
PARP12         	NG        	chr7:140023749-140062951      	DORGE     	neg       
IRGQ           	NG        	chr19:43584367-43596134       	DORGE     	neg       
ZNF441         	NG        	chr19:11767000-11784078       	DORGE     	pos       
C5ORF54        	NG        	chr5:160393148-160400054      	DORGE     	neg       
ZNF607         	NG        	chr19:37696371-37719761       	DORGE     	neg       
ZNF284         	NG        	chr19:44072159-44089613       	DORGE     	pos       
ADAT1          	NG        	chr16:75596868-75623281       	DORGE     	neg       
SHISA2         	NG        	chr13:26044597-26052016       	DORGE     	neg       
ZNF517         	NG        	chr8:144798913-144810084      	DORGE     	pos       
AP1S3          	NG        	chr2:223755326-223837582      	DORGE     	neg       
WEE2           	NG        	chr7:141708353-141731271      	DORGE     	pos       
TMEM136        	NG        	chr11:120325299-120333686     	DORGE     	pos       
ZNF799         	NG        	chr19:12390016-12401271       	DORGE     	neg       
B3GALT4        	NG        	chr6:33277123-33278825        	DORGE     	pos       
ZNF559         	NG        	chr19:9324179-9345871         	DORGE     	pos       
SMG8           	NG        	chr17:59209400-59215239       	DORGE     	pos       
TMEM117        	NG        	chr12:43836081-44389758       	DORGE     	pos       
MFSD9          	NG        	chr2:102714630-102736888      	DORGE     	neg       
LYSMD2         	NG        	chr15:51723011-51737655       	DORGE     	neg       
PNPO           	NG        	chr17:47941571-47949308       	DORGE     	pos       
ANKRD36B       	NG        	chr2:97492663-97589877        	DORGE     	neg       
SELM           	NG        	chr22:31104772-31120069       	DORGE     	neg       
SNAP25         	NG        	chr20:10218830-10307418       	DORGE     	pos       
MTHFSD         	NG        	chr16:86531972-86555203       	DORGE     	neg       
ZNF83          	NG        	chr19:52612378-52638385       	DORGE     	neg       
QDPR           	NG        	chr4:17486395-17512090        	DORGE     	neg       
TMED1          	NG        	chr19:10832067-10836212       	DORGE     	neg       
LRRCC1         	NG        	chr8:85107238-85146080        	DORGE     	pos       
EDNRA          	NG        	chr4:147480917-147544954      	DORGE     	pos       
NAGPA          	NG        	chr16:5024844-5033935         	DORGE     	neg       
C1ORF159       	NG        	chr1:1081823-1116089          	DORGE     	neg       
BBS7           	NG        	chr4:121824329-121870474      	DORGE     	neg       
PRCP           	NG        	chr11:82822936-82900430       	DORGE     	neg       
C11ORF82       	NG        	chr11:82901698-82958277       	DORGE     	pos       
AADAT          	NG        	chr4:170060222-170090387      	DORGE     	neg       
ZNF551         	NG        	chr19:57681977-57690648       	DORGE     	pos       
TRIL           	NG        	chr7:28953358-28958330        	DORGE     	neg       
MCOLN1         	NG        	chr19:7522624-7534009         	DORGE     	pos       
TMLHE          	NG        	chrX:155489011-155612952      	DORGE     	neg       
APCDD1L        	NG        	chr20:58459101-58515399       	DORGE     	neg       
NIPAL2         	NG        	chr8:98189826-98294235        	DORGE     	neg       
ZNF92          	NG        	chr7:65373855-65401136        	DORGE     	pos       
TMEM67         	NG        	chr8:93754894-93818121        	DORGE     	pos       
ZNF684         	NG        	chr1:40531573-40548110        	DORGE     	pos       
C12ORF68       	NG        	chr12:48183644-48185926       	DORGE     	pos       
HELB           	NG        	chr12:66302493-66338199       	DORGE     	pos       
JPH2           	NG        	chr20:44106590-44187188       	DORGE     	neg       
SNX32          	NG        	chr11:65833963-65853701       	DORGE     	pos       
GPR85          	NG        	chr7:113080247-113087755      	DORGE     	neg       
C6ORF1         	NG        	chr6:34246395-34249006        	DORGE     	neg       
GAA            	NG        	chr17:80101581-80119881       	DORGE     	pos       
SAMD11         	NG        	chr1:923923-944574            	DORGE     	pos       
PAQR7          	NG        	chr1:25861484-25875708        	DORGE     	neg       
ZNF720         	NG        	chr16:31713244-31759886       	DORGE     	pos       
ZNF320         	NG        	chr19:52876180-52897635       	DORGE     	neg       
METTL2A        	NG        	chr17:62423897-62453385       	DORGE     	pos       
ZNF17          	NG        	chr19:57411179-57421803       	DORGE     	pos       
ZNF782         	NG        	chr9:96816269-96854514        	DORGE     	neg       
METTL2B        	NG        	chr7:128476748-128506602      	DORGE     	pos       
NCSTN          	NG        	chr1:160343383-160358949      	DORGE     	pos       
FAM3A          	NG        	chrX:154506159-154516236      	DORGE     	neg       
ZNF813         	NG        	chr19:53467733-53496255       	DORGE     	pos       
RSAD1          	NG        	chr17:50478860-50485974       	DORGE     	pos       
ZNF333         	NG        	chr19:14690048-14721899       	DORGE     	pos       
DIEXF          	NG        	chr1:209827972-209857565      	DORGE     	pos       
ZNF586         	NG        	chr19:57769676-57780616       	DORGE     	pos       
UFD1L          	NG        	chr22:19449911-19479193       	DORGE     	neg       
ZNF440         	NG        	chr19:11814273-11835216       	DORGE     	pos       
GLT8D2         	NG        	chr12:103989280-104064183     	DORGE     	neg       
TOR1A          	NG        	chr9:129812942-129824136      	DORGE     	neg       
FAM200A        	NG        	chr7:99546300-99552114        	DORGE     	neg       
ZFP41          	NG        	chr8:143246939-143262705      	DORGE     	pos       
PLOD1          	NG        	chr1:11934717-11975537        	DORGE     	pos       
CALML6         	NG        	chr1:1915260-1917296          	DORGE     	pos       
CCNJL          	NG        	chr5:160249083-160312564      	DORGE     	neg       
RAB38          	NG        	chr11:88113251-88175443       	DORGE     	neg       
ZNF57          	NG        	chr19:2900928-2918473         	DORGE     	pos       
NCDN           	NG        	chr1:35557792-35566779        	DORGE     	pos       
CCDC130        	NG        	chr19:13731760-13763296       	DORGE     	pos       
ATP13A2        	NG        	chr1:16985958-17011928        	DORGE     	neg       
ABCD2          	NG        	chr12:39550033-39619803       	DORGE     	pos       
ZNF558         	NG        	chr19:8806170-8832304         	DORGE     	neg       
MDM1           	NG        	chr12:68294566-68332362       	DORGE     	neg       
ZNF280C        	NG        	chrX:130202707-130268899      	DORGE     	neg       
NDUFA3         	NG        	chr19:54102855-54107568       	DORGE     	pos       
TRIM71         	NG        	chr3:32817997-32897824        	DORGE     	pos       
NIPAL1         	NG        	chr4:48016772-48040173        	DORGE     	pos       
RAB7L1         	NG        	chr1:205767986-205775482      	DORGE     	neg       
RFX8           	NG        	chr2:101397361-101474703      	DORGE     	neg       
TCEANC         	NG        	chrX:13655295-13665409        	DORGE     	pos       
MRPS22         	NG        	chr3:139005806-139357046      	DORGE     	pos       
TTLL7          	NG        	chr1:83865024-83999132        	DORGE     	neg       
CNFN           	NG        	chr19:42387019-42390297       	DORGE     	neg       
TMEM201        	NG        	chr1:9588911-9614877          	DORGE     	pos       
ZNF506         	NG        	chr19:19785842-19821709       	DORGE     	neg       
FBXW9          	NG        	chr19:12688916-12696631       	DORGE     	neg       
CWF19L2        	NG        	chr11:107326360-107457825     	DORGE     	neg       
GSG1           	NG        	chr12:13084823-13103645       	DORGE     	neg
MEGF8          	NG        	chr19:42325609-42378769       	DORGE     	pos
INSM2          	NG        	chr14:35534164-35537054       	DORGE     	pos
TMEM220        	NG        	chr17:10713295-10730023       	DORGE     	neg
